Braze,Braze Team,info@braze.com,Customer engagement platform,"Braze is a comprehensive customer engagement platform that helps brands deliver personalized experiences across various channels."
Taboola,Taboola Team,support@taboola.com,Content discovery platform,"Taboola is a native advertising and content discovery platform that helps publishers monetize and advertisers reach audiences."
Chainalysis,Chainalysis Team,info@chainalysis.com,Blockchain data platform,"Chainalysis provides blockchain data and analysis to governments, banks, and businesses worldwide for compliance and investigation."
Betterment,Betterment Team,support@betterment.com,Robo-advisor investing,"Betterment is a leading robo-advisor that offers automated investing and financial planning services to individual investors."
Lemonade,Lemonade Team,help@lemonade.com,AI-powered insurance,"Lemonade is an insurtech company leveraging AI and behavioral economics to offer homeowners, renters, and pet insurance digitally."
Stash,Stash Team,support@stash.com,Personal finance app,"Stash is a personal finance app combining banking, investing, and advice to help users manage and grow their money."
Yieldstreet,Yieldstreet Team,invest@yieldstreet.com,Alternative investments platform,"Yieldstreet is an alternative investment platform providing retail investors access to income-generating investment products."
Alloy,Alloy Team,info@alloy.com,Identity verification platform,"Alloy is an identity verification platform that helps financial institutions prevent fraud and manage risk more effectively."
Landis,Landis Team,info@landis.com,Rent-to-own real estate,"Landis helps renters transition to homeownership by providing a structured path and financial guidance."
Petal,Petal Team,support@petalcard.com,Alternative credit cards,"Petal is a financial technology company offering innovative credit card products for consumers underserved by traditional banks."
DailyPay,DailyPay Team,info@dailypay.com,On-demand pay platform,"DailyPay is an on-demand pay platform that allows employees to access their earned wages before payday."
Clerk,Clerk Team,info@clerk.dev,User authentication platform,"Clerk is a developer-focused platform that provides flexible and secure user authentication and management solutions for web applications."
Hyperscience,Hyperscience Team,info@hyperscience.com,Intelligent document processing,"Hyperscience offers an intelligent document processing platform that automates data extraction from complex documents for enterprises."
Cedar,Cedar Team,info@cedar.com,Healthcare billing platform,"Cedar is a healthcare financial engagement platform that simplifies the patient billing and payment experience."
Cockroach Labs,Cockroach Labs Team,info@cockroachlabs.com,Distributed SQL database,"Cockroach Labs develops CockroachDB, a cloud-native, distributed SQL database designed for scalable and resilient applications."
Axonius,Axonius Team,info@axonius.com,Cybersecurity asset management,"Axonius is a cybersecurity asset management platform that provides a comprehensive inventory of all devices and users to identify gaps."
BigID,BigID Team,info@bigid.com,Data privacy and security,"BigID is a data privacy, security, and governance platform that helps organizations discover, classify, and protect sensitive data."
Orum,Orum Team,hello@orum.com,AI-powered sales dialing,"Orum uses AI to automate sales dialing, helping sales teams connect with more prospects faster."
CommonBond,CommonBond Team,contact@commonbond.co,Student loan refinancing,"CommonBond is a fintech company offering student loan refinancing and other financial products to help borrowers save money."
Unqork,Unqork Team,info@unqork.com,No-code enterprise platform,"Unqork is a no-code application platform enabling enterprises to build complex software without writing any code."
Braze,Braze Team,info@braze.com,Customer engagement platform,"Braze is a comprehensive customer engagement platform helping brands deliver personalized experiences across channels."
Taboola,Taboola Team,support@taboola.com,Content discovery platform,"Taboola is a native advertising and content discovery platform connecting publishers with advertisers."
Chainalysis,Chainalysis Team,info@chainalysis.com,Blockchain data platform,"Chainalysis provides blockchain data and analysis to governments, banks, and businesses for compliance and investigation."
Betterment,Betterment Team,support@betterment.com,Robo-advisor investing,"Betterment is a leading robo-advisor offering automated investing and financial planning services to individuals."
Lemonade,Lemonade Team,help@lemonade.com,AI-powered insurance,"Lemonade is an insurtech company leveraging AI to offer homeowners, renters, and pet insurance digitally."
Stash,Stash Team,support@stash.com,Personal finance app,"Stash is a personal finance app combining banking, investing, and advice to help users manage and grow their money."
Yieldstreet,Yieldstreet Team,invest@yieldstreet.com,Alternative investments platform,"Yieldstreet is an alternative investment platform providing retail investors access to income-generating investment products."
Alloy,Alloy Team,info@alloy.com,Identity verification platform,"Alloy is an identity verification platform that helps financial institutions prevent fraud and manage risk effectively."
Landis,Landis Team,info@landis.com,Rent-to-own real estate,"Landis helps renters transition to homeownership by providing a structured path and financial guidance."
Petal,Petal Team,support@petalcard.com,Alternative credit cards,"Petal is a fintech company offering innovative credit card products for consumers underserved by traditional banks."
DailyPay,DailyPay Team,info@dailypay.com,On-demand pay platform,"DailyPay is an on-demand pay platform allowing employees to access their earned wages before payday."
Hume AI,Hume AI Team,hello@hume.ai,Empathetic AI,"Hume AI is developing an empathetic AI that understands and responds to human emotional expressions."
Regal.io,Regal.io Team,info@regal.io,Outbound sales platform,"Regal.io provides a platform for SMS and outbound phone sales to drive conversations and hit growth targets."
Lunchbox Technologies,Lunchbox Team,info@lunchbox.io,Restaurant tech solutions,"Lunchbox Technologies offers an open-source enterprise order management solution for restaurants, streamlining various operations."
Lili,Lili Team,support@lili.co,Neobank for freelancers,"Lili is a neobank focused on empowering business owners and freelancers with tailored mobile banking solutions."
Capchase,Capchase Team,info@capchase.com,Non-dilutive financing,"Capchase helps startups secure non-dilutive capital through recurring revenue financing, providing flexible cash flow."
Public.com,Public.com Team,support@public.com,Social investing platform,"Public.com is an investing platform that allows users to invest in stocks, ETFs, and crypto with a social community aspect."
Spotnana,Spotnana Team,info@spotnana.com,Travel tech platform,"Spotnana offers a cloud-native travel tech platform designed to modernize business travel for companies globally."
Mesh Payments,Mesh Payments Team,info@meshpayments.com,Spend management platform,"Mesh Payments provides a spend management platform for businesses, simplifying corporate payments and expense control."
Topline Pro,Topline Pro Team,info@toplinepro.com,AI for home services,"Topline Pro is a Generative AI platform enabling home service businesses to be easily discovered, trusted, and booked directly."
Bloom Credit,Bloom Credit Team,info@bloomcredit.com,Credit data platform,"Bloom Credit provides an API for businesses to embed credit data functionality into their applications for consumers."
CommonBond,CommonBond Team,contact@commonbond.co,Student loan refinancing,"CommonBond is a fintech company offering student loan refinancing and other financial products to help borrowers save money."
Unqork,Unqork Team,info@unqork.com,No-code enterprise platform,"Unqork is a no-code application platform enabling enterprises to build complex software without writing any code."
Braze,Braze Team,info@braze.com,Customer engagement platform,"Braze is a comprehensive customer engagement platform helping brands deliver personalized experiences across channels."
Taboola,Taboola Team,support@taboola.com,Content discovery platform,"Taboola is a native advertising and content discovery platform connecting publishers with advertisers."
Chainalysis,Chainalysis Team,info@chainalysis.com,Blockchain data platform,"Chainalysis provides blockchain data and analysis to governments, banks, and businesses for compliance and investigation."
Betterment,Betterment Team,support@betterment.com,Robo-advisor investing,"Betterment is a leading robo-advisor offering automated investing and financial planning services to individuals."
Lemonade,Lemonade Team,help@lemonade.com,AI-powered insurance,"Lemonade is an insurtech company leveraging AI to offer homeowners, renters, and pet insurance digitally."
Stash,Stash Team,support@stash.com,Personal finance app,"Stash is a personal finance app combining banking, investing, and advice to help users manage and grow their money."
Yieldstreet,Yieldstreet Team,invest@yieldstreet.com,Alternative investments platform,"Yieldstreet is an alternative investment platform providing retail investors access to income-generating investment products."
Alloy,Alloy Team,info@alloy.com,Identity verification platform,"Alloy is an identity verification platform that helps financial institutions prevent fraud and manage risk effectively."
Landis,Landis Team,info@landis.com,Rent-to-own real estate,"Landis helps renters transition to homeownership by providing a structured path and financial guidance."
Petal,Petal Team,support@petalcard.com,Alternative credit cards,"Petal is a fintech company offering innovative credit card products for consumers underserved by traditional banks."
DailyPay,DailyPay Team,info@dailypay.com,On-demand pay platform,"DailyPay is an on-demand pay platform allowing employees to access their earned wages before payday."
Clerk,Clerk Team,info@clerk.dev,User authentication platform,"Clerk is a developer-focused platform providing flexible and secure user authentication and management for web applications."
Hyperscience,Hyperscience Team,info@hyperscience.com,Intelligent document processing,"Hyperscience offers an intelligent document processing platform that automates data extraction from complex documents."
Cedar,Cedar Team,info@cedar.com,Healthcare billing platform,"Cedar is a healthcare financial engagement platform that simplifies the patient billing and payment experience."
Cockroach Labs,Cockroach Labs Team,info@cockroachlabs.com,Distributed SQL database,"Cockroach Labs develops CockroachDB, a cloud-native, distributed SQL database for scalable and resilient applications."
Axonius,Axonius Team,info@axonius.com,Cybersecurity asset management,"Axonius is a cybersecurity asset management platform providing a comprehensive inventory of all devices and users."
BigID,BigID Team,info@bigid.com,Data privacy and security,"BigID is a data privacy, security, and governance platform helping organizations discover, classify, and protect sensitive data."
Orum,Orum Team,hello@orum.com,AI-powered sales dialing,"Orum uses AI to automate sales dialing, helping sales teams connect with more prospects faster."
Hume AI,Hume AI Team,hello@hume.ai,Empathetic AI,"Hume AI is developing an empathetic AI that understands and responds to human emotional expressions."
Regal.io,Regal.io Team,info@regal.io,Outbound sales platform,"Regal.io provides a platform for SMS and outbound phone sales to drive conversations and hit growth targets."
Lunchbox Technologies,Lunchbox Team,info@lunchbox.io,Restaurant tech solutions,"Lunchbox Technologies offers an open-source enterprise order management solution for restaurants, streamlining various operations."
Lili,Lili Team,support@lili.co,Neobank for freelancers,"Lili is a neobank focused on empowering business owners and freelancers with tailored mobile banking solutions."
Capchase,Capchase Team,info@capchase.com,Non-dilutive financing,"Capchase helps startups secure non-dilutive capital through recurring revenue financing, providing flexible cash flow."
Public.com,Public.com Team,support@public.com,Social investing platform,"Public.com is an investing platform that allows users to invest in stocks, ETFs, and crypto with a social community aspect."
Spotnana,Spotnana Team,info@spotnana.com,Travel tech platform,"Spotnana offers a cloud-native travel tech platform designed to modernize business travel for companies globally."
Mesh Payments,Mesh Payments Team,info@meshpayments.com,Spend management platform,"Mesh Payments provides a spend management platform for businesses, simplifying corporate payments and expense control."
Topline Pro,Topline Pro Team,info@toplinepro.com,AI for home services,"Topline Pro is a Generative AI platform enabling home service businesses to be easily discovered, trusted, and booked directly."
Bloom Credit,Bloom Credit Team,info@bloomcredit.com,Credit data platform,"Bloom Credit provides an API for businesses to embed credit data functionality into their applications for consumers."
BlockFi,BlockFi Team,support@blockfi.com,Crypto financial services,"BlockFi offers a crypto-native financial services platform including interest accounts, trading, and crypto-backed loans."
Cadre,Cadre Team,info@cadre.com,Real estate investment,"Cadre is a technology-driven real estate investment platform providing access to institutional-quality commercial properties."
Carta,Carta Team,info@carta.com,Equity management platform,"Carta provides software and services to manage equity, valuations, and cap tables for private and public companies."
Gemini,Gemini Team,support@gemini.com,Cryptocurrency exchange,"Gemini is a regulated cryptocurrency exchange and custodian, enabling users to buy, sell, and store digital assets securely."
Kustomer,Kustomer Team,info@kustomer.com,Customer service CRM,"Kustomer is a customer service CRM platform that provides a complete view of every customer, enabling personalized support."
Outbrain,Outbrain Team,support@outbrain.com,Native ad platform,"Outbrain is a native advertising platform that helps publishers and marketers connect with audiences through personalized content recommendations."
Ro,Ro Team,info@ro.co,Telehealth healthcare,"Ro is a direct-to-patient telehealth company providing personalized healthcare services for a variety of conditions."
Sigma Computing,Sigma Computing Team,info@sigmacomputing.com,Cloud data analytics,"Sigma Computing is a cloud-native data analytics platform that allows anyone to explore and analyze live data without code."
Superhuman,Superhuman Team,hello@superhuman.com,Fast email client,"Superhuman is a lightning-fast email client designed for busy professionals, featuring AI triaging and advanced shortcuts."
Transmit Security,Transmit Security Team,info@transmitsecurity.com,Identity security platform,"Transmit Security offers a customer identity and access management platform that simplifies and secures digital interactions."
Via,Via Team,info@ridewithvia.com,Transit tech company,"Via is a transit tech company that provides on-demand and pre-booked ride-sharing services and transit solutions for cities."
